customer_id,first_name,last_name,email,city,state,signup_date,account_status
CUST0059,Titi,Lawal,titi.lawal437@gmail.com,Kano,Kano,2023-06-12,Active
CUST0060,Uche,Ibrahim,uche.ibrahim861@gmail.com,Abuja,FCT,2024-06-17,Active
CUST0061,Chidi,Oluwole,chidi.oluwole241@yahoo.com,Lagos,Lagos,2024-07-07,Active
CUST0062,Gbenga,Eze,gbenga.eze724@yahoo.com,Lagos,Lagos,2023-12-05,Active
CUST0063,Obinna,Adegoke,obinna.adegoke399@gmail.com,Lagos,Lagos,2023-01-21,Active
CUST0064,Emeka,Obi,emeka.obi306@gmail.com,Abuja,FCT,2024-03-05,Active
CUST0065,Kola,Adegoke,kola.adegoke498@yahoo.com,Abuja,FCT,2024-11-26,Active
CUST0066,Blessing,Eze,blessing.eze638@gmail.com,Port Harcourt,Rivers,2024-08-29,Active
CUST0067,Aisha,Eze,aisha.eze888@gmail.com,Lagos,Lagos,2024-01-24,Active
CUST0068,Uche,Chukwu,uche.chukwu285@gmail.com,Lagos,Lagos,2023-09-16,Active
CUST0069,Tobi,Adeleke,tobi.adeleke975@gmail.com,Lagos,Lagos,2024-10-29,Inactive
CUST0070,Yemi,Okafor,yemi.okafor637@yahoo.com,Ibadan,Oyo,2024-11-16,Active
CUST0071,Kola,Obi,kola.obi172@gmail.com,Abuja,FCT,2023-04-28,Active
CUST0072,Amaka,Fagbemi,amaka.fagbemi27@gmail.com,Ibadan,Oyo,2024-01-20,Active
CUST0073,Gbenga,Ibrahim,gbenga.ibrahim105@gmail.com,Lagos,Lagos,2024-12-01,Active
CUST0074,Ayo,Adeleke,ayo.adeleke356@gmail.com,Port Harcourt,Rivers,2023-03-12,Active
CUST0075,Aisha,Babangida,aisha.babangida109@gmail.com,Lagos,Lagos,2024-04-15,Active
CUST0076,Segun,Nwosu,segun.nwosu631@gmail.com,Lagos,Lagos,2024-05-10,Active
CUST0077,Ibrahim,Ibrahim,ibrahim.ibrahim851@gmail.com,Kano,Kano,2024-04-06,Active
CUST0078,Lola,Chukwu,lola.chukwu345@yahoo.com,Kano,Kano,2023-07-06,Active
CUST0079,Ibrahim,Nwosu,ibrahim.nwosu902@gmail.com,Port Harcourt,Rivers,2024-07-23,Inactive
CUST0080,Titi,Adegoke,titi.adegoke501@gmail.com,Lagos,Lagos,2024-05-02,Active
CUST0081,Emeka,Musa,emeka.musa302@yahoo.com,Abuja,FCT,2023-11-10,Active
CUST0082,Segun,Obi,segun.obi436@gmail.com,Abuja,FCT,2023-12-27,Active
CUST0083,Funmi,Bello,funmi.bello739@yahoo.com,Lagos,Lagos,2024-07-02,Active
CUST0084,Yemi,Babangida,yemi.babangida284@gmail.com,Lagos,Lagos,2024-06-21,Active
CUST0085,Sade,Ibrahim,,Port Harcourt,Rivers,2024-06-30,Active
CUST0086,Tobi,Oluwole,tobi.oluwole715@gmail.com,Ibadan,Oyo,2024-05-17,Active
CUST0087,Ada,Babangida,ada.babangida452@gmail.com,Kano,Kano,2023-09-16,Active
CUST0088,Chidi,Chukwu,chidi.chukwu504@yahoo.com,Lagos,Lagos,2023-02-24,Active
CUST0089,Chidi,Ibrahim,chidi.ibrahim122@gmail.com,Ibadan,Oyo,2024-09-02,Active
CUST0090,Musa,Nnamdi,musa.nnamdi931@gmail.com,Port Harcourt,Rivers,2024-03-15,Active
CUST0091,Titi,Bello,titi.bello971@gmail.com,Lagos,Lagos,2023-09-28,Active
CUST0092,Tobi,Musa,tobi.musa161@yahoo.com,Lagos,Lagos,2024-08-31,Active
CUST0093,Gbenga,Oluwole,gbenga.oluwole720@gmail.com,Lagos,Lagos,2023-08-28,Active
CUST0094,Chioma,Adeyemi,chioma.adeyemi436@yahoo.com,Kano,Kano,2023-06-02,Active
CUST0095,Bisi,Oluwole,bisi.oluwole610@gmail.com,Lagos,Lagos,2023-10-23,Active
CUST0096,Gbenga,Chukwu,gbenga.chukwu966@yahoo.com,Kano,Kano,2024-03-24,Active
CUST0097,Titi,Abubakar,titi.abubakar619@yahoo.com,Ibadan,Oyo,2024-11-21,Active
CUST0098,Lola,Nwosu,lola.nwosu591@yahoo.com,Ibadan,Oyo,2024-04-26,Active
CUST0099,Bisi,Fagbemi,bisi.fagbemi447@gmail.com,Ibadan,Oyo,2023-04-04,Active
CUST0100,Lola,Bello,lola.bello879@yahoo.com,Lagos,Lagos,2024-05-22,Active
